id,listing_url,name,picture_url,latitude,longitude,accommodates,beds,price,cleaning_fee,number_of_reviews,review_scores_rating,reviews_per_month,minimum_nights
17988370,https://www.airbnb.com/rooms/17988370,"Cozy modern cottage, walk to Harvard/MIT (parking)",https://a0.muscache.com/im/pictures/711a1b89-e54c-4c63-bdeb-1e15b3fd8dbf.jpg?aki_policy=large,42.3682,-71.10342,6,3,369,100,74,99,1.92,2
18086596,https://www.airbnb.com/rooms/18086596,Large studio near Harvard University,https://a0.muscache.com/im/pictures/cc7e6e3c-9fe0-492e-91b5-1f43a8bebf81.jpg?aki_policy=large,42.36924,-71.10973,2,1,120,150,1,100,0.05,91
18151308,https://www.airbnb.com/rooms/18151308,Beautiful Cambridge/Harvard house,https://a0.muscache.com/im/pictures/53d1005a-ba94-483a-87c9-b02919d0cc92.jpg?aki_policy=large,42.37632,-71.1102,3,2,240,120,84,100,2.2,2
18406874,https://www.airbnb.com/rooms/18406874,Ultra-Lavish | Luxurious 2-Den Apt East Cambridge,https://a0.muscache.com/im/pictures/4ebb9f1a-a4a1-4085-8e32-847628ae3f36.jpg?aki_policy=large,42.364,-71.08237,5,2,419,100,0,0,0,30
18427707,https://www.airbnb.com/rooms/18427707,Sunny & spacious Harvard/Porter + Parking,https://a0.muscache.com/im/pictures/bf2deadd-0d56-4eba-859a-a48658b9906a.jpg?aki_policy=large,42.38525,-71.11731,2,1,72,35,32,99,0.85,91
18600639,https://www.airbnb.com/rooms/18600639,"Harvard/Porter Sq Home, Perfect for Graduation",https://a0.muscache.com/im/pictures/6fc7ce0d-b4c2-4ad3-afc4-c41010de376a.jpg?aki_policy=large,42.38245,-71.11425,9,5,1375,130,3,100,0.08,4
18610351,https://www.airbnb.com/rooms/18610351,Spacious garden bedroom + bathroom in Central Sq,https://a0.muscache.com/im/pictures/e3f36e79-9595-48e5-988f-e85c759b6876.jpg?aki_policy=large,42.36367,-71.10348,2,1,250,50,22,97,0.58,91
18611600,https://www.airbnb.com/rooms/18611600,Peaceful and sunny top floor bedroom,https://a0.muscache.com/im/pictures/e3904f5f-d23e-45be-b04e-4266a3c2951f.jpg?aki_policy=large,42.36304,-71.10323,2,1,250,50,3,100,0.08,91
18613736,https://www.airbnb.com/rooms/18613736,Long-term Renters Please! Harvard Walkable 1bdr,https://a0.muscache.com/im/pictures/8fd33742-f2a3-49b8-bcdd-fd5e46f04a47.jpg?aki_policy=large,42.38479,-71.12904,2,1,199,150,4,100,0.11,91
18614693,https://www.airbnb.com/rooms/18614693,Luxurious - Walkable to Harvard Full 1bdrm + sofa,https://a0.muscache.com/im/pictures/1f04dcfd-ab33-435f-9f06-5c7035d12851.jpg?aki_policy=large,42.38352,-71.12957,4,2,150,120,1,80,0.03,91
18615189,https://www.airbnb.com/rooms/18615189,Walk to Harvard! 1brdr+sofabed Charmer w/amenities,https://a0.muscache.com/im/pictures/31e2e6a5-b8c3-490d-9d68-d2098aa62dad.jpg?aki_policy=large,42.3856,-71.131,2,1,140,150,4,85,0.11,30
18676360,https://www.airbnb.com/rooms/18676360,Walk to Harvard/MIT (unit 2) w/ parking,https://a0.muscache.com/im/pictures/1dd66cbc-5733-4c7f-b260-9b935737c550.jpg?aki_policy=large,42.36758,-71.10495,6,4,325,100,125,99,3.38,2
18682931,https://www.airbnb.com/rooms/18682931,"^10min walk-Harvard, Suite-like/private entry/3fl",https://a0.muscache.com/im/pictures/1ffa1449-27a3-4057-9a0d-e79a15811368.jpg?aki_policy=large,42.38479,-71.11679,2,1,119,29,73,100,2.25,2
18791077,https://www.airbnb.com/rooms/18791077,"Massachusetts Avenue, Lux 1bd in Central Sq-",https://a0.muscache.com/im/pictures/eee55eb2-cbfe-4694-b5d3-e74f34df2769.jpg?aki_policy=large,42.36409,-71.10378,2,2,243,0,1,100,0.09,91
19065197,https://www.airbnb.com/rooms/19065197,"Perfect Location, Lovely room in Cambridge!",https://a0.muscache.com/im/pictures/4a9f9178-301c-4e4b-838a-9560445e2a5c.jpg?aki_policy=large,42.36743,-71.10086,2,1,57,35,2,100,0.06,110
19183167,https://www.airbnb.com/rooms/19183167,Contemporary 2BR in Central Sq! Harvard/MIT,https://a0.muscache.com/im/pictures/638ab721-5bed-4cc8-86f9-c50a36f3df66.jpg?aki_policy=large,42.3616,-71.10424,5,2,202,99,111,98,3.15,2
